num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
126,89,52,0,0,0,8,0,1
214,95,19,0,0,0,27,0,1
47,39,12,0,0,0,0,0,1
850,462,35,0,0,0,269,1,0
84,59,22,0,0,4,7,0,0
1065,420,385,0,0,1,94,2,0
51,39,23,0,0,0,0,0,0
267,117,96,0,0,0,11,0,0
100,70,35,0,0,0,7,0,0
42,35,7,0,0,0,2,0,1
50,40,20,0,0,0,0,0,1
22,20,9,0,0,0,0,0,0
155,106,58,0,0,0,4,0,1
136,99,30,2,1,0,8,0,0
419,380,38,0,0,0,35,1,1
630,301,205,1,1,4,25,1,0
103,72,33,0,0,0,5,0,0
71,60,11,0,0,0,18,0,1
106,69,26,1,1,1,21,0,0
88,67,32,0,0,0,10,0,1
169,112,44,0,0,0,25,0,1
105,86,25,0,0,0,4,0,1
91,67,28,0,0,0,4,0,1
495,271,167,0,0,0,2,0,1
39,29,11,1,1,0,2,0,0
35,29,14,0,0,0,3,0,0
104,68,47,0,0,0,1,1,0
205,202,10,0,0,0,17,0,1
333,172,135,0,0,0,11,1,0
93,70,37,0,0,0,2,0,0
331,175,69,0,0,0,40,0,0
204,103,67,0,0,0,30,1,0
176,124,56,0,0,0,2,0,1
109,92,18,0,0,0,30,0,1
212,128,79,0,0,0,21,0,0
37,34,9,0,0,0,11,0,1
121,108,27,0,0,0,23,0,1
65,63,7,0,0,0,17,0,1
131,74,29,0,0,0,42,1,0
42,35,16,0,0,0,2,0,1
92,52,2,0,0,0,24,0,0
431,188,157,1,1,9,26,0,0
26,22,6,0,0,0,3,1,0
235,144,83,0,0,0,4,0,1
107,74,32,0,0,0,7,0,1
88,64,22,0,0,0,7,0,1
343,204,93,0,0,0,25,1,1
53,45,12,0,0,0,7,0,1
68,63,8,0,0,0,15,0,1
763,331,275,0,0,0,43,3,0
50,45,20,0,0,0,1,0,1
47,47,0,0,0,0,5,0,1
189,123,71,0,0,1,2,0,0
36,15,4,0,0,0,12,0,0
70,44,35,0,0,0,1,0,0
143,101,57,0,0,0,7,0,0
373,207,108,0,0,13,28,1,0
409,189,154,0,0,0,12,0,0
293,165,76,10,3,3,25,0,0
105,63,34,0,0,3,8,0,0
95,74,33,0,0,0,0,0,1
107,75,34,0,0,0,4,0,1
432,170,124,0,0,15,41,0,0
567,257,164,8,2,3,34,2,0
209,124,51,0,0,0,15,0,0
23,22,5,0,0,0,1,1,1
118,51,28,0,0,0,8,0,0
81,74,14,0,0,0,15,0,1
40,39,9,0,0,0,11,0,1
166,119,35,0,0,0,7,1,1
179,126,50,0,0,0,7,1,0
230,156,67,1,1,5,18,1,0
17,17,6,0,0,0,0,0,0
961,398,394,0,0,0,30,0,0
404,181,98,5,2,5,74,0,0
1579,547,472,0,0,0,58,2,1
977,490,303,0,0,0,150,2,1
155,100,66,0,0,0,6,1,1
43,26,10,0,0,0,0,0,0
236,216,4,0,0,0,150,0,1
41,38,9,0,0,0,8,0,1
176,113,68,0,0,0,3,1,1
149,104,43,2,2,1,3,0,0
22,21,7,0,0,0,1,0,0
251,183,85,0,0,0,13,0,1
234,132,67,1,1,3,10,0,0
66,55,21,0,0,1,9,0,0
